time,open,high,low,close,volume
2022-07-19 20:00:00,151.66,151.8,151.66,151.8,34049
2022-07-19 19:45:00,151.76,151.88,151.5,151.87,41279
2022-07-19 19:30:00,151.76,151.94,151.71,151.76,30721
2022-07-19 19:15:00,151.75,151.97,151.72,151.75,10773
2022-07-19 19:00:00,151.68,151.8,151.68,151.75,7740
2022-07-19 18:45:00,151.78,151.87,151.61,151.71,27095
2022-07-19 18:30:00,151.88,151.89,151.77,151.8,10147
2022-07-19 18:15:00,151.92,151.93,151.56,151.86,37864
2022-07-19 18:00:00,151.88,152.11,151.88,152.04,102058
2022-07-19 17:45:00,151.92,151.9509,151.88,151.91,22597
2022-07-19 17:30:00,151.83,151.95,151.8019,151.95,27841
2022-07-19 17:15:00,151.75,151.9195,151.7,151.79,49475
2022-07-19 17:00:00,151.49,151.87,151.4,151.72,96381
2022-07-19 16:45:00,151.41,151.49,151.0,151.49,188791
2022-07-19 16:30:00,151.23,151.5,151.0,151.41,114242
2022-07-19 16:15:00,151.0,151.28,150.93,151.22,2378110
2022-07-19 16:00:00,150.77,151.23,150.655,150.97,7849723
2022-07-19 15:45:00,150.62,150.84,150.37,150.7799,2331215
2022-07-19 15:30:00,150.65,150.73,150.45,150.62,2009284
2022-07-19 15:15:00,150.68,150.81,150.47,150.6499,2242319
2022-07-19 15:00:00,150.64,150.79,150.28,150.68,1731611
2022-07-19 14:45:00,150.595,150.7889,150.56,150.6455,1343957
2022-07-19 14:30:00,150.6689,150.82,150.53,150.595,1478968
2022-07-19 14:15:00,150.815,150.94,150.6401,150.665,2030562
2022-07-19 14:00:00,150.415,150.85,150.37,150.8168,2240833
2022-07-19 13:45:00,149.86,150.44,149.849,150.415,1987671
2022-07-19 13:30:00,149.97,150.13,149.68,149.85,1685307
2022-07-19 13:15:00,150.0898,150.16,149.85,149.99,1468374
2022-07-19 13:00:00,149.977,150.21,149.83,150.08,1957965
2022-07-19 12:45:00,149.82,150.06,149.733,149.975,1789093
2022-07-19 12:30:00,149.4719,149.8797,149.3586,149.8098,1610933
2022-07-19 12:15:00,149.805,149.8199,149.402,149.48,1472717
2022-07-19 12:00:00,149.83,149.8782,149.57,149.81,1446153
2022-07-19 11:45:00,149.745,150.22,149.65,149.82,2177837
2022-07-19 11:30:00,149.8769,150.01,149.445,149.75,2891845
2022-07-19 11:15:00,149.41,150.14,149.4075,149.8769,4270499
2022-07-19 11:00:00,148.86,149.4099,148.77,149.4,2770321
2022-07-19 10:45:00,148.41,148.94,148.24,148.865,2569853
2022-07-19 10:30:00,147.8801,148.5499,147.51,148.42,2889610
2022-07-19 10:15:00,147.99,148.22,147.31,147.88,3196169
2022-07-19 10:00:00,147.39,148.24,146.91,147.98,4688685
